"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"679721752646258688","","","2015-12-23 17:54:29 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Ilya Kovalchuk Wikipedia article edited anonymously from Shared Services Canada https://t.co/z0XMd85ocn","","","","https://en.wikipedia.org/w/index.php?diff=696511209&oldid=694130120"
"679695646375448576","","","2015-12-23 16:10:44 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Norman Paterson School of International Affairs Wikipedia article edited anonymously from Shared Services Canada https://t.co/JCXkP0tJa9","","","","https://en.wikipedia.org/w/index.php?diff=696500442&oldid=693028331"
"679693642047569920","","","2015-12-23 16:02:47 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Simulation de pluie Wikipedia article edited anonymously from Environment Canada https://t.co/yUX2rRfLqP","","","","https://fr.wikipedia.org/w/index.php?diff=121566740&oldid=121517395&rcid=155097739"
"679690082052403200","","","2015-12-23 15:48:38 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Gluten-free beer Wikipedia article edited anonymously from Shared Services Canada https://t.co/an9uzLMX3y","","","","https://en.wikipedia.org/w/index.php?diff=696497984&oldid=689851343"
"679684985587118080","","","2015-12-23 15:28:23 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","2015 in spaceflight Wikipedia article edited anonymously from Shared Services Canada https://t.co/ZXSKMIG8Ki","","","","https://en.wikipedia.org/w/index.php?diff=696495889&oldid=696372783"
"679684246101995520","","","2015-12-23 15:25:26 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Kippah Wikipedia article edited anonymously from Shared Services Canada https://t.co/azKRKFP6Nz","","","","https://en.wikipedia.org/w/index.php?diff=696495589&oldid=696457183"
"679682438751195136","","","2015-12-23 15:18:15 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","VDF Wikipedia article edited anonymously from Environment Canada https://t.co/mEsO6PuWbV","","","","https://en.wikipedia.org/w/index.php?diff=696494879&oldid=696345272"
"679449541159063552","","","2015-12-22 23:52:48 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Crystal Springs, Saskatchewan Wikipedia article edited anonymously from Shared Services Canada https://t.co/gC09CizGjH","","","","https://en.wikipedia.org/w/index.php?diff=696412925&oldid=694386858"
"679439878745104384","","","2015-12-22 23:14:25 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","List of firearm brands Wikipedia article edited anonymously from Shared Services Canada https://t.co/vCFC8ABqFP","","","","https://en.wikipedia.org/w/index.php?diff=696408173&oldid=696407903"
"679439372589121536","","","2015-12-22 23:12:24 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","List of firearm brands Wikipedia article edited anonymously from Shared Services Canada https://t.co/ednCZ7bg3i","","","","https://en.wikipedia.org/w/index.php?diff=696407903&oldid=696407612"
"679438852843544576","","","2015-12-22 23:10:20 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","List of firearm brands Wikipedia article edited anonymously from Shared Services Canada https://t.co/OgEbnlcH0s","","","","https://en.wikipedia.org/w/index.php?diff=696407612&oldid=686252761"
"679419281570988034","","","2015-12-22 21:52:34 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Category:Visibility Wikipedia article edited anonymously from Environment Canada https://t.co/WymcgKDwFf","","","","https://en.wikipedia.org/w/index.php?diff=696398201&oldid=620869794"
"679418982194151424","","","2015-12-22 21:51:23 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Category:Temperature Wikipedia article edited anonymously from Environment Canada https://t.co/tLFSUx3REJ","","","","https://en.wikipedia.org/w/index.php?diff=696398052&oldid=635174310"
"679418606774566912","","","2015-12-22 21:49:53 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Category:Humidity and hygrometry Wikipedia article edited anonymously from Environment Canada https://t.co/ABBFQ6US0P","","","","https://en.wikipedia.org/w/index.php?diff=696397874&oldid=676985311"
"679389277273333760","","","2015-12-22 19:53:20 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Mohamed Atta Wikipedia article edited anonymously from Shared Services Canada https://t.co/zV7nAz7tEe","","","","https://en.wikipedia.org/w/index.php?diff=696382942&oldid=696379489"
"679389277285912577","","","2015-12-22 19:53:20 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Mohamed Atta Wikipedia article edited anonymously from Transport Canada https://t.co/zV7nAz7tEe","","","","https://en.wikipedia.org/w/index.php?diff=696382942&oldid=696379489"
"679387763519660032","","","2015-12-22 19:47:19 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Kitchener, Ontario Wikipedia article edited anonymously from Shared Services Canada https://t.co/oCRtZ5Nhhp","","","","https://en.wikipedia.org/w/index.php?diff=696382072&oldid=696381974"
"679387607911047170","","","2015-12-22 19:46:42 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Kitchener, Ontario Wikipedia article edited anonymously from Shared Services Canada https://t.co/YbOHLWCtIY","","","","https://en.wikipedia.org/w/index.php?diff=696381974&oldid=695581822"
"679386837245435905","","","2015-12-22 19:43:39 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Sport in Calgary Wikipedia article edited anonymously from Shared Services Canada https://t.co/8J80OpQ6kO","","","","https://en.wikipedia.org/w/index.php?diff=696381438&oldid=683692928"
"679353339134496773","","","2015-12-22 17:30:32 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Éruption de tornades d'août 2005 en Ontario Wikipedia article edited anonymously from Environment Canada https://t.co/SUheM2Mk9W","","","","https://fr.wikipedia.org/w/index.php?diff=121543036&oldid=121542786&rcid=155039002"
"679350651156066304","","","2015-12-22 17:19:51 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Éruption de tornades d'août 2005 en Ontario Wikipedia article edited anonymously from Environment Canada https://t.co/Q4ZaTDLuuK","","","","https://fr.wikipedia.org/w/index.php?diff=121542786&oldid=121542732&rcid=155038571"
"679350112200622080","","","2015-12-22 17:17:43 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Éruption de tornades d'août 2005 en Ontario Wikipedia article edited anonymously from Environment Canada https://t.co/JXZcxolGKv","","","","https://fr.wikipedia.org/w/index.php?diff=121542732&oldid=121537143&rcid=155038485"
"679348770996396032","","","2015-12-22 17:12:23 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/CoNeZgzq9O","","","","https://fr.wikipedia.org/w/index.php?diff=121542609&oldid=121541806&rcid=155038303"
"679346654642905088","","","2015-12-22 17:03:58 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Wikipedia:Teahouse/Questions Wikipedia article edited anonymously from Library and Archives Canada https://t.co/x47XxnWdtZ","","","","https://en.wikipedia.org/w/index.php?diff=696361854&oldid=696359691"
"679340135050313729","","","2015-12-22 16:38:04 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/KIUFKk0Nqu","","","","https://fr.wikipedia.org/w/index.php?diff=121541806&oldid=121541759&rcid=155036800"
"679339674641547264","","","2015-12-22 16:36:14 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/3XmLBZz2y2","","","","https://fr.wikipedia.org/w/index.php?diff=121541759&oldid=121541458&rcid=155036742"
"679337041616896000","","","2015-12-22 16:25:46 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/vb3tARsIWr","","","","https://fr.wikipedia.org/w/index.php?diff=121541458&oldid=121541072&rcid=155036102"
"679333147750875137","","","2015-12-22 16:10:18 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/Hfyp5s4Pvl","","","","https://fr.wikipedia.org/w/index.php?diff=121541072&oldid=121541057&rcid=155035344"
"679333013960990720","","","2015-12-22 16:09:46 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/XXa4XptZSe","","","","https://fr.wikipedia.org/w/index.php?diff=121541057&oldid=121541004&rcid=155035272"
"679332365118939136","","","2015-12-22 16:07:11 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/QdtRWkgHFF","","","","https://fr.wikipedia.org/w/index.php?diff=121541004&oldid=121540973&rcid=155035182"
"679332091050479617","","","2015-12-22 16:06:06 +0000","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Eau précipitable Wikipedia article edited anonymously from Environment Canada https://t.co/QvBUc9DXdz","","","","https://fr.wikipedia.org/w/index.php?diff=121540973&oldid=121540964&rcid=155035125"
